Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code
20,Eastern,Population A,Community I,Individual 7,13.11.18,0.48537,3,With,Climax,Let-Down,2,3,Traveling,AFT,AFT,SonsoZD,2,0.383081,383.081,Population A (Community I),Community I (Individual 7)
22,Eastern,Population A,Community I,Individual 2,13.11.18,1.44673,4,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,SonsoFK,3,0.108184,108.184,Population A (Community I),Community I (Individual 2)
22,Eastern,Population A,Community I,Individual 2,13.11.18,1.44673,4,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,SonsoFK,2,1.267031,1267.031,Population A (Community I),Community I (Individual 2)
22,Eastern,Population A,Community I,Individual 2,13.11.18,1.44673,4,With,Unk,Unk,0,0,Traveling,Traveling,Traveling,SonsoFK,1,0.071511,71.51100000000001,Population A (Community I),Community I (Individual 2)
23,Eastern,Population A,Community I,Individual 2,13.11.18,2.04176,8,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,SonsoFK,2,0.581641,581.641,Population A (Community I),Community I (Individual 2)
23,Eastern,Population A,Community I,Individual 2,13.11.18,2.04176,8,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,SonsoFK,5,0.064181,64.181,Population A (Community I),Community I (Individual 2)
23,Eastern,Population A,Community I,Individual 2,13.11.18,2.04176,8,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,SonsoFK,4,0.581641,581.641,Population A (Community I),Community I (Individual 2)
23,Eastern,Population A,Community I,Individual 2,13.11.18,2.04176,8,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,SonsoFK,7,0.068192,68.19200000000001,Population A (Community I),Community I (Individual 2)
23,Eastern,Population A,Community I,Individual 2,13.11.18,2.04176,8,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,SonsoFK,3,0.068192,68.19200000000001,Population A (Community I),Community I (Individual 2)
23,Eastern,Population A,Community I,Individual 2,13.11.18,2.04176,8,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,SonsoFK,6,0.605709,605.7090000000001,Population A (Community I),Community I (Individual 2)
23,Eastern,Population A,Community I,Individual 2,13.11.18,2.04176,8,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling,SonsoFK,1,0.072204,72.20400000000001,Population A (Community I),Community I (Individual 2)
24,Eastern,Population A,Community I,Individual 8,21.11.18,0.12636,2,With,Let-Down,Let-Down,3,3,Resting,Resting,Resting,SonsoJS,1,0.126357,126.357,Population A (Community I),Community I (Individual 8)
25,Eastern,Population A,Community I,Individual 9,22.11.18,4.39091,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,3,0.550621,550.621,Population A (Community I),Community I (Individual 9)
25,Eastern,Population A,Community I,Individual 9,22.11.18,4.39091,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,6,0.966594,966.5939999999999,Population A (Community I),Community I (Individual 9)
25,Eastern,Population A,Community I,Individual 9,22.11.18,4.39091,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,4,0.948826,948.8259999999999,Population A (Community I),Community I (Individual 9)
