,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
56,57,EAC,Budongo,Sonso,ZD,22.07.19,"3106 ZD group ph drum (beh data traveling), unk group ph other party, ZD single ph drum (beh data traveling-AFT).WAV",1.72127,1.72127,1.72127,0.0,8,7,7,0,0.100268,0.718587,0.155972,0.072416,0.31473,0.155972,0.203321,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,Traveling,Enter tree,AFT,NV,NV
57,58,EAC,Budongo,Sonso,KT,23.07.19,"3134 MS unk group ph, KT single ph drum (beh context-aggression), ZL single ph, rest?.WAV",0.1245,0.1245,0.1245,0.0,2,1,1,0,0.1245,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,Display,Display,Display,NV,NV
58,59,EAC,Budongo,Sonso,FK,27.07.19,"3191 FK ph drum (beh data traveling-resting), FK ph drum.WAV",0.97627,0.97627,0.97627,0.0,5,4,4,0,0.442772,0.292216,0.166032,0.075247,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Unk,1,0,Unk because overlap with other calls,Traveling,Resting,Traveling,NV,NV
59,60,EAC,Budongo,Sonso,FK,27.07.19,3192 FK single ph drum (beh data-resting).WAV,1.12071,1.12072,1.12072,0.0,5,4,4,0,0.028225,0.777029,0.086337,0.229124,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,NV,Resting,Resting,Resting,NV,NV
60,61,EAC,Budongo,Sonso,MS,23.08.18,"ASO042 Sonso unk group M/F ph, MS single M ph drum (display), unk group M/F ph.WAV",0.87665,0.87665,0.87665,0.0,4,3,3,0,0.205879,0.101279,0.569489,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
61,62,EAC,Budongo,Sonso,MS,23.08.18,"ASO042 Sonso unk group M/F ph, MS single M ph drum (display), unk group M/F ph.WAV",0.19509,0.19509,0.19509,0.0,2,1,1,0,0.195087,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
62,63,EAC,Budongo,Sonso,MS,23.08.18,"ASO042 Sonso unk group M/F ph, MS single M ph drum (display), unk group M/F ph.WAV",0.14298,0.14298,0.14298,0.0,2,1,1,0,0.142975,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
63,64,EAC,Budongo,Sonso,MS,23.08.18,"ASO042 Sonso unk group M/F ph, MS single M ph drum (display), unk group M/F ph.WAV",0.13947,0.13947,0.13947,0.0,2,1,1,0,0.139467,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
64,65,EAC,Budongo,Sonso,MS,23.08.18,"ASO042 Sonso unk group M/F ph, MS single M ph drum (display), unk group M/F ph.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
65,66,EAC,Budongo,Sonso,MS,23.08.18,"ASO042 Sonso unk group M/F ph, MS single M ph drum (display), unk group M/F ph.WAV",0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,Display,Display,Display,NV,NV
66,67,EAC,Budongo,Sonso,ZF,11.09.18,ASO178 Sonso ZF single ph drum traveling.WAV,1.38475,1.38476,1.38476,0.0,8,7,7,0,0.110038,0.116229,0.145893,0.27695,0.326405,0.08902,0.320223,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,Traveling,Traveling,Traveling,NV,NV
67,68,EAC,Budongo,Sonso,KT,11.10.18,ASO488 Sonso KT single ph drum (resting).WAV,0.40198,0.40198,0.40198,0.0,3,2,2,0,0.08652,0.31546,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,"Ph roar (like BUp), No climax",Resting,Resting,Resting,NV,NV
